#wvn cm-1        wvl um           modulation
2927.94449       3.4153653        0.0159254333      
2928.14449       3.41513202       0.0153829321      
2928.34449       3.41489877       0.0155533401      
2928.54449       3.41466556       0.0158218933      
2928.74449       3.41443237       0.015835509       
2928.94449       3.41419922       0.0157998683      
2929.14449       3.4139661        0.0155211115      
2929.34449       3.41373302       0.0157945591      
2929.54449       3.41349996       0.015718504       
2929.74449       3.41326694       0.0153886109      
2929.94449       3.41303394       0.0153638257      
2930.14449       3.41280098       0.0160095448      
2930.34449       3.41256806       0.0156681546      
2930.54449       3.41233516       0.0155230496      
2930.74449       3.4121023        0.0159855184      
2930.94449       3.41186946       0.015285306       
2931.14449       3.41163666       0.0153680078      
2931.34449       3.41140389       0.0155871069      
2931.54449       3.41117115       0.0154938852      
2931.74449       3.41093845       0.0155510514      
2931.94449       3.41070577       0.015401442       
2932.14449       3.41047313       0.0157451709      
2932.34449       3.41024052       0.0157426242      
2932.54449       3.41000794       0.0153345713      
2932.74449       3.40977539       0.0159955763      
2932.94449       3.40954288       0.0153792841      
2933.14449       3.4093104        0.0159571753      
2933.34449       3.40907794       0.0161594815      
2933.54449       3.40884552       0.0156231836      
2933.74449       3.40861313       0.0159331352      
2933.94449       3.40838078       0.0159540125      
2934.14449       3.40814845       0.0159738189      
2934.34449       3.40791616       0.0159624756      
2934.54449       3.4076839        0.0156182048      
2934.74449       3.40745167       0.0152734667      
2934.94449       3.40721947       0.0153700681      
2935.14449       3.4069873        0.0154017194      
2935.34449       3.40675516       0.0158370779      
2935.54449       3.40652306       0.0153644946      
2935.74449       3.40629099       0.01570059        
2935.94449       3.40605895       0.0159669394      
2936.14449       3.40582694       0.015958577       
2936.34449       3.40559496       0.0154752425      
2936.54449       3.40536302       0.0155235262      
2936.74449       3.4051311        0.0155090006      
2936.94449       3.40489922       0.0158899685      
2937.14449       3.40466737       0.0157359671      
2937.34449       3.40443555       0.0157528174      
2937.54449       3.40420376       0.0158326757      
2937.74449       3.403972         0.0158238422      
2937.94449       3.40374028       0.0159492169      
2938.14449       3.40350859       0.0157420995      
2938.34449       3.40327693       0.0157028216      
2938.54449       3.40304529       0.0155292181      
2938.74449       3.4028137        0.0156260509      
2938.94449       3.40258213       0.0154565147      
2939.14449       3.40235059       0.0156382234      
2939.34449       3.40211909       0.0156754356      
2939.54449       3.40188762       0.0156858621      
2939.74449       3.40165618       0.0158456498      
2939.94449       3.40142477       0.0155755341      
2940.14449       3.40119339       0.0160557986      
2940.34449       3.40096204       0.0158893501      
2940.54449       3.40073073       0.0158581446      
2940.74449       3.40049944       0.0158582726      
2940.94449       3.40026819       0.0159538829      
2941.14449       3.40003697       0.0158939444      
2941.34449       3.39980578       0.0155532006      
2941.54449       3.39957462       0.0153724677      
2941.74449       3.3993435        0.0158309198      
2941.94449       3.3991124        0.0158663159      
2942.14449       3.39888134       0.0158022614      
2942.34449       3.39865031       0.0156603778      
2942.54449       3.39841931       0.0154087361      
2942.74449       3.39818834       0.0154469781      
2942.94449       3.3979574        0.0156477463      
2943.14449       3.39772649       0.0159561945      
2943.34449       3.39749562       0.015665933       
2943.54449       3.39726477       0.0155478114      
2943.74449       3.39703396       0.0155056707      
2943.94449       3.39680318       0.0158650344      
2944.14449       3.39657243       0.0159363033      
2944.34449       3.39634171       0.0155376728      
2944.54449       3.39611102       0.0156325094      
2944.74449       3.39588037       0.0158873706      
2944.94449       3.39564974       0.0159352374      
2945.14449       3.39541915       0.015813496       
2945.34449       3.39518859       0.0153507241      
2945.54449       3.39495806       0.0157320118      
2945.74449       3.39472756       0.015572797       
2945.94449       3.39449709       0.0155794469      
2946.14449       3.39426665       0.0159161674      
2946.34449       3.39403625       0.0157142928      
2946.54449       3.39380587       0.0155979197      
2946.74449       3.39357553       0.0158684538      
2946.94449       3.39334522       0.0159830576      
2947.14449       3.39311494       0.0159005085      
2947.34449       3.39288469       0.015543805       
2947.54449       3.39265447       0.0153776346      
2947.74449       3.39242429       0.0159120654      
2947.94449       3.39219413       0.0156087699      
2948.14449       3.39196401       0.015482172       
2948.34449       3.39173392       0.0154865123      
2948.54449       3.39150385       0.0152950835      
2948.74449       3.39127382       0.0156909811      
2948.94449       3.39104382       0.0159041924      
2949.14449       3.39081386       0.0158330758      
2949.34449       3.39058392       0.0155077427      
2949.54449       3.39035401       0.0154937411      
2949.74449       3.39012414       0.015575828       
2949.94449       3.3898943        0.01553277        
2950.14449       3.38966448       0.0157911607      
2950.34449       3.3894347        0.0158235666      
2950.54449       3.38920495       0.0156249951      
2950.74449       3.38897523       0.0154279254      
2950.94449       3.38874555       0.0154388645      
2951.14449       3.38851589       0.0158730843      
2951.34449       3.38828627       0.0158444811      
2951.54449       3.38805667       0.0158852314      
2951.74449       3.38782711       0.0158946025      
2951.94449       3.38759758       0.015572415       
2952.14449       3.38736808       0.0153501152      
2952.34449       3.38713861       0.0156351181      
2952.54449       3.38690917       0.0156907915      
2952.74449       3.38667976       0.0156587389      
2952.94449       3.38645038       0.0154331207      
2953.14449       3.38622104       0.0157931817      
2953.34449       3.38599172       0.0158928051      
2953.54449       3.38576244       0.016022089       
2953.74449       3.38553319       0.0157893279      
2953.94449       3.38530397       0.0155992268      
2954.14449       3.38507478       0.0160725377      
2954.34449       3.38484562       0.0160719009      
2954.54449       3.38461649       0.0158979241      
2954.74449       3.38438739       0.0156888116      
2954.94449       3.38415833       0.0157281225      
2955.14449       3.38392929       0.0156859101      
2955.34449       3.38370029       0.0159245969      
2955.54449       3.38347131       0.0157468663      
2955.74449       3.38324237       0.0160555382      
2955.94449       3.38301346       0.0156648046      
